"Speed","Radius_big","Radius_small","Length","Pressure_1","Pressure_2","Viscosity","Kf_a","Kf_b","Kf_c","","","",""
"0.1","0.2","0.1","990.6","177.9","38.8","0.006","-5.5","0","0.1","","","",""
"8.1","1.4","0.3","371.5","29.6","15.6","0.002","-4.6","0","8.5","","","",""
"0.9","0.3","0.1","655.6","144.3","7.2","0.004","-12.3","0","0.9","","","",""
"92.9","2.1","0.4","491.2","121.8","63.0","0.001","-20.8","0","96.1","","","",""
"0.0","1.2","1.0","283.0","5.9","5.8","0.003","-0.0","0","0.0","","","",""
"32.4","3.3","0.3","711.4","45.4","11.0","0.004","-2.9","0","32.6","","","",""
"55.0","3.5","2.8","312.8","122.6","49.4","0.004","-13.9","0","167.5","","","",""
"374.5","3.3","1.9","244.9","182.9","80.3","0.002","-52.3","0","566.2","","","",""
"62.3","3.1","0.1","547.2","108.7","19.9","0.006","-6.4","0","62.4","","","",""
"2.7","0.4","0.2","27.0","85.7","67.3","0.006","-27.2","0","3.6","","","",""
"5056.1","2.4","2.2","0.3","100.0","56.9","0.005","-5922.2","0","34044.2","","","",""
"1.8","2.0","1.5","273.5","22.1","14.8","0.006","-1.1","0","4.3","","","",""
"137.9","4.5","0.3","791.9","107.6","78.5","0.001","-7.0","0","138.6","","","",""
"1.4","0.6","0.2","600.9","69.9","57.7","0.001","-4.7","0","1.6","","","",""
"10.6","1.4","1.1","187.5","23.0","2.4","0.002","-12.8","0","26.3","","","",""
"19.5","1.4","1.0","682.7","160.4","48.9","0.002","-21.3","0","41.7","","","",""
"102.1","2.8","0.5","205.9","122.7","72.1","0.005","-13.3","0","105.5","","","",""
"0.4","0.8","0.1","884.5","80.7","66.5","0.007","-0.6","0","0.4","","","",""
"5705.0","3.5","2.8","662.9","119.9","4.4","0.000","-1295.7","0","15903.6","","","",""
"1.7","0.7","0.5","664.8","163.1","32.3","0.006","-8.5","0","4.1","","","",""
"15.4","3.2","2.0","295.2","86.7","80.2","0.002","-2.3","0","24.7","","","",""
"0.0","0.1","0.0","910.9","143.9","39.2","0.009","-3.0","0","0.0","","","",""
"49.7","4.9","0.1","409.1","32.3","22.1","0.003","-2.0","0","49.7","","","",""
"184.6","4.4","1.3","723.2","156.7","31.8","0.004","-10.3","0","202.0","","","",""
"22.3","4.2","3.2","899.3","25.4","2.9","0.002","-3.2","0","54.9","","","",""
"0.9","2.6","0.4","939.4","94.5","91.2","0.006","-0.1","0","0.9","","","",""
"5.1","0.8","0.3","402.3","129.5","0.4","0.008","-10.0","0","6.2","","","",""
"11.2","2.4","2.2","676.2","100.5","42.6","0.001","-14.9","0","85.3","","","",""
"73.8","4.0","2.7","318.5","190.7","127.1","0.006","-8.1","0","132.5","","","",""
"14.3","3.3","2.0","455.3","103.5","90.2","0.003","-2.2","0","23.5","","","",""
"23.3","1.5","0.5","297.0","188.7","108.1","0.006","-11.0","0","26.3","","","",""
"0.0","0.0","0.0","731.0","118.4","84.3","0.005","-2.3","0","0.0","","","",""
"8.6","4.2","1.6","917.1","191.3","172.3","0.009","-0.6","0","10.1","","","",""
"429.8","3.9","0.1","169.6","159.2","7.0","0.008","-28.4","0","430.2","","","",""
"3.9","2.0","2.0","580.2","187.9","58.4","0.001","-65.7","0","274.9","","","",""
"1.8","2.6","0.6","591.5","75.4","73.1","0.003","-0.3","0","1.9","","","",""
"11.2","1.8","0.7","850.2","140.5","96.5","0.003","-4.2","0","13.0","","","",""
"25.4","4.1","1.7","855.0","50.9","13.4","0.006","-1.8","0","30.2","","","",""
"8.2","2.6","1.4","639.3","156.8","125.1","0.007","-1.7","0","11.3","","","",""
"1.3","0.9","0.7","246.8","9.2","0.1","0.003","-3.5","0","2.7","","","",""
